BitSreamSHA1, BitSreamMD5, InputYUVSHA1, InputYUVMD5, -scrsig, -frms, -numl, -numtl, -sw, -sh, -sw 0, -sh 0, -sw 1, -sh 1,-sw 2, -sh 2, -sw 3, -sh 3, -frout 0, -frout 1, -frout 2, -frout 3, -lqp 0, -lqp 1, -lqp 2, -lqp 3, -rc, -tarb, -ltarb 0, -ltarb 1, -ltarb 2, -ltarb 3, -slcmd 0, -slcnum 0, -slcmd 1, -slcnum 1, -slcmd 2, -slcnum 2, -slcmd 3, -slcnum 3, -slicesize 0, -slicesize 1, -slicesize 2, -slicesize 3, -iper, -thread, -ltr, -db, -denois, -scene , bgd , -aq
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 500.00,200.00,300.00,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 500.00,200.00,300.00,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 500.00,200.00,300.00,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 110.00,50.00,60.00,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 110.00,50.00,60.00,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 110.00,50.00,60.00,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 500.00,200.00,300.00,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 500.00,200.00,300.00,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 500.00,200.00,300.00,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 110.00,50.00,60.00,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 110.00,50.00,60.00,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 110.00,50.00,60.00,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
