SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 9a59c7ba0f7388c15ed6bec25c397b1c661ac656,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 9a59c7ba0f7388c15ed6bec25c397b1c661ac656,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 9a59c7ba0f7388c15ed6bec25c397b1c661ac656,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 6a9032270cd93c9d13a156be0b5f025d650a9392,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 6a9032270cd93c9d13a156be0b5f025d650a9392,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 6a9032270cd93c9d13a156be0b5f025d650a9392,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 516f187188d0643cc8790e465d9964adca3a4cc2,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  1,  1500,
 1185a95b0ce0cd17d150e34d3d93ebab80bcfce5,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  2,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  0,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  1,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  2,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  0,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  1,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  2,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  0,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  1,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  2,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  0,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  1,  1500,
 2df779ca1de2ff2959365b003a88a3aa7fdfa682,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  2,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  0,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  1,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  2,  1500,
 d3904dde978f2b11ed953970e0940bd1079912ba,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  0,  1500,
 d3904dde978f2b11ed953970e0940bd1079912ba,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  1,  1500,
 d3904dde978f2b11ed953970e0940bd1079912ba,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  2,  1500,
 4bc45663038ef356255f944d25e9547ac1aa1f8d,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  0,  1500,
 4bc45663038ef356255f944d25e9547ac1aa1f8d,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  1,  1500,
 4bc45663038ef356255f944d25e9547ac1aa1f8d,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  2,  1500,
 0a84b3445f5fcb3685d37b6bc7416183348b8029,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  0,  1500,
 0a84b3445f5fcb3685d37b6bc7416183348b8029,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  1,  1500,
 0a84b3445f5fcb3685d37b6bc7416183348b8029,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  2,  1500,
 d58157a764eea704ae8604b06416c592f16b203f,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  1,  0,  1500,
 d58157a764eea704ae8604b06416c592f16b203f,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  1,  1,  1500,
 d58157a764eea704ae8604b06416c592f16b203f,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  1,  2,  1500,
 21ec936137277197a6a611e63d616eef221613d4,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  0,  0,  1500,
 21ec936137277197a6a611e63d616eef221613d4,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  0,  1,  1500,
 21ec936137277197a6a611e63d616eef221613d4,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  0,  2,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  1,  1,  0,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  1,  1,  1,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  1,  1,  2,  1500,
 d3904dde978f2b11ed953970e0940bd1079912ba,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  1,  0,  0,  1500,
 d3904dde978f2b11ed953970e0940bd1079912ba,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  1,  0,  1,  1500,
 d3904dde978f2b11ed953970e0940bd1079912ba,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  1,  0,  2,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  2,  1,  0,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  2,  1,  1,  1500,
 1e6aeda3ae0751b8c68f5e92aa1695b1694e03f8,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  2,  1,  2,  1500,
