SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 3f6bcc37c93be7c69be928de8d1a6967c3ff58e2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 3f6bcc37c93be7c69be928de8d1a6967c3ff58e2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 3f6bcc37c93be7c69be928de8d1a6967c3ff58e2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 66cad44cba6291b130fe055342b09a1ad33380a3,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 66cad44cba6291b130fe055342b09a1ad33380a3,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 66cad44cba6291b130fe055342b09a1ad33380a3,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 98a9fb5542ed317417887ae178e8edfe76445ef4,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 98a9fb5542ed317417887ae178e8edfe76445ef4,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 98a9fb5542ed317417887ae178e8edfe76445ef4,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 f65a91698408cfe8ca16cea367031c27164b4469,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 f65a91698408cfe8ca16cea367031c27164b4469,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 f65a91698408cfe8ca16cea367031c27164b4469,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 b7269f2e5785b2b2c12c7af70567f40c515eb700,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 b7269f2e5785b2b2c12c7af70567f40c515eb700,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 b7269f2e5785b2b2c12c7af70567f40c515eb700,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
 301243ef7dfd697f5577a35a43e942ebf259f250,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 301243ef7dfd697f5577a35a43e942ebf259f250,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 301243ef7dfd697f5577a35a43e942ebf259f250,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
