SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 bdb02f85c9c30dd43580013ebc918a5be395990f,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 bdb02f85c9c30dd43580013ebc918a5be395990f,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 bdb02f85c9c30dd43580013ebc918a5be395990f,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 3098a502e1b4a12afaf7b3e4d44bfca568bf0dc6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 3098a502e1b4a12afaf7b3e4d44bfca568bf0dc6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 3098a502e1b4a12afaf7b3e4d44bfca568bf0dc6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 5fb4324d5dc6d812adcb73830a448e83c7d9203f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  1,  1500,
 3a47e51da8df996bc6c9c2b667516d14bd610504,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  2,  1500,
 64a801968ff7f7b2a13e74f1757676f8e7cc5692,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  0,  1500,
 64a801968ff7f7b2a13e74f1757676f8e7cc5692,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  1,  1500,
 64a801968ff7f7b2a13e74f1757676f8e7cc5692,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  2,  1500,
