SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 ed2f524b352834b2e88d3f5cadc465dcf7493842,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 ed2f524b352834b2e88d3f5cadc465dcf7493842,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 ed2f524b352834b2e88d3f5cadc465dcf7493842,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 9711471b56718114fad49faef7f206ff1bd98a98,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 9711471b56718114fad49faef7f206ff1bd98a98,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 9711471b56718114fad49faef7f206ff1bd98a98,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 8179327477f28b41b8839059ecb5d31b9158c583,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  1,  1500,
 4227a5ea9cd9ba15617ab67f041070fffe7dab9a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  2,  1500,
