SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 ae0cfb660555af6a23bccf0ca4129cca00d58a31,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 ae0cfb660555af6a23bccf0ca4129cca00d58a31,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 ae0cfb660555af6a23bccf0ca4129cca00d58a31,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 fa50ff0a5fbfd443336115eece86fefeb663a3d2,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 fa50ff0a5fbfd443336115eece86fefeb663a3d2,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 fa50ff0a5fbfd443336115eece86fefeb663a3d2,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 f28db71930e5817908e8d9cc1436686f76a720b6,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  1,  1500,
 19a2a0bf30063aa80310b9fab6941d7516a03d76,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  2,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  0,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  1,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  2,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  0,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  1,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  2,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  0,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  1,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  2,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  0,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  1,  1500,
 117939b95fdab2943fc555d27db11435399f6596,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  2,  1500,
 8c7d813cfdc107342e3b9c444d933c920c64371a,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  0,  1500,
 8c7d813cfdc107342e3b9c444d933c920c64371a,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  1,  1500,
 8c7d813cfdc107342e3b9c444d933c920c64371a,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  2,  1500,
 a94d099a28671a2b83e0a34f978b8c2aa6646871,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  0,  1500,
 a94d099a28671a2b83e0a34f978b8c2aa6646871,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  1,  1500,
