SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 08d3a3199ab519fa7c700f936fceb806fcd058fe,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 08d3a3199ab519fa7c700f936fceb806fcd058fe,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 08d3a3199ab519fa7c700f936fceb806fcd058fe,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 0e58db9234cd2d04f175b756ef8b405baacd4644,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 0e58db9234cd2d04f175b756ef8b405baacd4644,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 0e58db9234cd2d04f175b756ef8b405baacd4644,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 ce395aa720d509f29ae8ac7b889c6e607a206131,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 33567a434cee67c2b8df6807506881a7520c15eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
