SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 99d768c678b0825369ccff400ee84e3ccb826c86,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 99d768c678b0825369ccff400ee84e3ccb826c86,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 99d768c678b0825369ccff400ee84e3ccb826c86,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 34bbb21a60b3efd5a526decbf7a270f47d2befba,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 34bbb21a60b3efd5a526decbf7a270f47d2befba,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 34bbb21a60b3efd5a526decbf7a270f47d2befba,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 746843fecd759b1962154d5e2913bd017f13ccf9,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 746843fecd759b1962154d5e2913bd017f13ccf9,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 746843fecd759b1962154d5e2913bd017f13ccf9,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
 999c6f9fb5a9b8bea681616a1417e729ea6aebf1,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 999c6f9fb5a9b8bea681616a1417e729ea6aebf1,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 999c6f9fb5a9b8bea681616a1417e729ea6aebf1,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 3d3ce94a946962d7825955b26b529c87e5584637,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 9119892ac60d6c951320daba35fd9a9e91a6b1d9,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
