SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 194694427e4c222b4afdc8215cd87b8df4897190,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 194694427e4c222b4afdc8215cd87b8df4897190,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 194694427e4c222b4afdc8215cd87b8df4897190,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 a4c377d7cc9a787103ebe00f4d5f5c8e42e98535,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 a4c377d7cc9a787103ebe00f4d5f5c8e42e98535,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 a4c377d7cc9a787103ebe00f4d5f5c8e42e98535,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 e4db2a1b9ca6f4ea801f7c620d91eab5d2944adf,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  1,  1500,
 669261c04761e6c88419a2d1baf06b375783fd2d,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  2,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  0,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  1,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  2,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  0,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  1,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  2,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  0,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  1,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  2,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  0,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  1,  1500,
 04ebc9e4f111bfad531d44119308438c7a394959,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  2,  1500,
 ebdc8600b13e801018f23608d62db0675b856187,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  0,  1500,
 ebdc8600b13e801018f23608d62db0675b856187,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  1,  1500,
 ebdc8600b13e801018f23608d62db0675b856187,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  2,  1500,
 13903cf78623c28dce74081948e70f851ee6c6de,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  0,  1500,
 13903cf78623c28dce74081948e70f851ee6c6de,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  1,  1500,
 13903cf78623c28dce74081948e70f851ee6c6de,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  2,  1500,
 5dd8e579783ddd44f35a864f04b33ddb3e2441d2,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  0,  1500,
 5dd8e579783ddd44f35a864f04b33ddb3e2441d2,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  1,  1500,
 5dd8e579783ddd44f35a864f04b33ddb3e2441d2,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  2,  1500,
 1a3d2fdb8ecdbdb79c846fe42bdd02425a3f7df2,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  0,  1500,
 1a3d2fdb8ecdbdb79c846fe42bdd02425a3f7df2,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  1,  1500,
 1a3d2fdb8ecdbdb79c846fe42bdd02425a3f7df2,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  2,  1500,
 d9565b1f6125585c66e1aef6cad39db60fab4c40,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  1,  0,  1500,
 d9565b1f6125585c66e1aef6cad39db60fab4c40,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  1,  1,  1500,
 d9565b1f6125585c66e1aef6cad39db60fab4c40,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  1,  2,  1500,
 c9c842016c7f25bdc18fa06ebc2ab881ce1dd727,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  0,  0,  1500,
 c9c842016c7f25bdc18fa06ebc2ab881ce1dd727,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  0,  1,  1500,
 c9c842016c7f25bdc18fa06ebc2ab881ce1dd727,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  0,  2,  1500,
 ebdc8600b13e801018f23608d62db0675b856187,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  1,  1,  0,  1500,
 ebdc8600b13e801018f23608d62db0675b856187,  -1 ,  1,  0,  -1,  256,  18,  30,  2,  0,  1,  1,  1,  1500,
