SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 a6d12d11880080a2655e282e812ac5a8ca12e67a,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 a6d12d11880080a2655e282e812ac5a8ca12e67a,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 a6d12d11880080a2655e282e812ac5a8ca12e67a,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 20e0bb595768991a293dd14ff4b7cf4f172fc24a,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 20e0bb595768991a293dd14ff4b7cf4f172fc24a,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 20e0bb595768991a293dd14ff4b7cf4f172fc24a,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 4ed98b3d6f6bd03343183baea0fac36b69009158,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 4ed98b3d6f6bd03343183baea0fac36b69009158,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 4ed98b3d6f6bd03343183baea0fac36b69009158,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 a6d12d11880080a2655e282e812ac5a8ca12e67a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 a6d12d11880080a2655e282e812ac5a8ca12e67a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 a6d12d11880080a2655e282e812ac5a8ca12e67a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 853b0a5d219e1692140588e46b29b57209fe976e,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 a6d12d11880080a2655e282e812ac5a8ca12e67a,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
