SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 4331bc34747b2598c039c317930ba9f218b362c3,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 4331bc34747b2598c039c317930ba9f218b362c3,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 4331bc34747b2598c039c317930ba9f218b362c3,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 a2e8ca8ee923f9e8c0943905dff59fc5c02828bf,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 a2e8ca8ee923f9e8c0943905dff59fc5c02828bf,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 a2e8ca8ee923f9e8c0943905dff59fc5c02828bf,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 377cf0f19d45e47491ef164a13626eff088f6701,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  1,  1500,
 26bc4ada2066b88fa9cfe109b838c762e72a966f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  2,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  0,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  1,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  2,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  0,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  1,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  2,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  0,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  1,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  2,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  0,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  1,  1500,
 3c0d7f2f491c697ae0130c2b3ea1c4d92617203d,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  2,  1500,
 b064765d799594ee030b38297b6cd878b614e983,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  0,  1500,
 b064765d799594ee030b38297b6cd878b614e983,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  1,  1500,
 b064765d799594ee030b38297b6cd878b614e983,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  1,  2,  1500,
 bbdb25fcb535fbcf13318b3a2b353ef1809c957c,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  0,  1500,
 bbdb25fcb535fbcf13318b3a2b353ef1809c957c,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  1,  1500,
 bbdb25fcb535fbcf13318b3a2b353ef1809c957c,  -1 ,  1,  0,  -1,  256,  18,  30,  0,  0,  1,  0,  2,  1500,
 8c970b5ff4f810feb6b1c6340dbcf08467e1e4e5,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  0,  1500,
 8c970b5ff4f810feb6b1c6340dbcf08467e1e4e5,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  1,  1500,
 8c970b5ff4f810feb6b1c6340dbcf08467e1e4e5,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  1,  2,  1500,
 4476e6fc846ddb65b5511f3fa1aa08933679a23d,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  0,  1500,
 4476e6fc846ddb65b5511f3fa1aa08933679a23d,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  1,  1500,
 4476e6fc846ddb65b5511f3fa1aa08933679a23d,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  4,  1,  0,  2,  1500,
 1153c49aa597d6cd68eb95f39db17e28267f041b,  -1 ,  1,  0,  -1,  256,  18,  30,  1,  7,  1,  1,  0,  1500,
