SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 7774bf0e0a9d04fe78dbd41a9165f94e6c736182,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 7774bf0e0a9d04fe78dbd41a9165f94e6c736182,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 7774bf0e0a9d04fe78dbd41a9165f94e6c736182,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 6605e9178645b1a68df60418c08594e103f049d7,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 6605e9178645b1a68df60418c08594e103f049d7,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 6605e9178645b1a68df60418c08594e103f049d7,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 01057fb9ffec2c2f5463ddab9322ccd6b63182c6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 01057fb9ffec2c2f5463ddab9322ccd6b63182c6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 01057fb9ffec2c2f5463ddab9322ccd6b63182c6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 d737100f31938984a834e87d3e188cf731ffd284,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 d737100f31938984a834e87d3e188cf731ffd284,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 d737100f31938984a834e87d3e188cf731ffd284,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 b401f66d4449f78ebf8aae9bd6292ec0466b8047,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 b401f66d4449f78ebf8aae9bd6292ec0466b8047,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 b401f66d4449f78ebf8aae9bd6292ec0466b8047,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
 2170ca6fe9f078cf830f2f2d95659c98186e90c7,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 2170ca6fe9f078cf830f2f2d95659c98186e90c7,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 2170ca6fe9f078cf830f2f2d95659c98186e90c7,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 7774bf0e0a9d04fe78dbd41a9165f94e6c736182,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 7774bf0e0a9d04fe78dbd41a9165f94e6c736182,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 7774bf0e0a9d04fe78dbd41a9165f94e6c736182,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 6605e9178645b1a68df60418c08594e103f049d7,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 6605e9178645b1a68df60418c08594e103f049d7,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 6605e9178645b1a68df60418c08594e103f049d7,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 7774bf0e0a9d04fe78dbd41a9165f94e6c736182,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
