SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 21f1a14294524043e1fa1998ee5c39e2524a342d,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 21f1a14294524043e1fa1998ee5c39e2524a342d,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 21f1a14294524043e1fa1998ee5c39e2524a342d,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 f5bea528ac66a28b923de34410e27f72fe333e00,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 f5bea528ac66a28b923de34410e27f72fe333e00,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 f5bea528ac66a28b923de34410e27f72fe333e00,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 78ae747d779d07e0bf480286d183f401a23db64c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  1,  1500,
 1ddea72adc0ca70b1ba99a1bc8615a4e6f845db0,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  2,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  0,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  1,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  2,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  0,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  1,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  2,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  0,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  1,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  4,  0,  2,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  0,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  1,  1500,
 627288a83cd3c74201fa4e903a8018ab08e8ce29,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  8,  0,  2,  1500,
