SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 e7e231769640869c8286ac8ebd5d80b2ce2fc8c8,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 e7e231769640869c8286ac8ebd5d80b2ce2fc8c8,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 e7e231769640869c8286ac8ebd5d80b2ce2fc8c8,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 ef926e76b747ed2aa28dedebff104de3968919a2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 ef926e76b747ed2aa28dedebff104de3968919a2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 ef926e76b747ed2aa28dedebff104de3968919a2,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 26b73d62ba95dc436c1e46bc3b40d4dd4a5c5cc1,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 26b73d62ba95dc436c1e46bc3b40d4dd4a5c5cc1,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 26b73d62ba95dc436c1e46bc3b40d4dd4a5c5cc1,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 d30aac0e0158fa24f7edb90142292f3a067db226,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 d30aac0e0158fa24f7edb90142292f3a067db226,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 d30aac0e0158fa24f7edb90142292f3a067db226,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 b3f99cd9eef53b41fa32910efe84646eacc88ab6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 b3f99cd9eef53b41fa32910efe84646eacc88ab6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 b3f99cd9eef53b41fa32910efe84646eacc88ab6,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
