SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 25f8a63c90352eace69af71caa24e21f7d1a0f63,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 25f8a63c90352eace69af71caa24e21f7d1a0f63,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 25f8a63c90352eace69af71caa24e21f7d1a0f63,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 6bcf56877f565e630b8f136bbee19f5ac075ae85,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 6bcf56877f565e630b8f136bbee19f5ac075ae85,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 6bcf56877f565e630b8f136bbee19f5ac075ae85,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 dd5031daebd4bd9e9a9c686cfbc4694a9b2f32d5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 dd5031daebd4bd9e9a9c686cfbc4694a9b2f32d5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 dd5031daebd4bd9e9a9c686cfbc4694a9b2f32d5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
 b222ae471abad0cb344fec9df66826f4dd91646b,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 b222ae471abad0cb344fec9df66826f4dd91646b,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 b222ae471abad0cb344fec9df66826f4dd91646b,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 0917f46a54b94ceefcd397084bb745a0c715de5f,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  1,  1500,
 1f8eb0722fbf06ed3fcecd28ee84503b17a07bca,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  2,  1500,
 1c9b4d9c07c6600aa5133b7eae86eafc28e207f6,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  1,  0,  1500,
 1c9b4d9c07c6600aa5133b7eae86eafc28e207f6,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  1,  1,  1500,
 1c9b4d9c07c6600aa5133b7eae86eafc28e207f6,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  1,  2,  1500,
 c02f3758d6033c3bdcd8f5848412b85662368592,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  0,  1500,
 c02f3758d6033c3bdcd8f5848412b85662368592,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  1,  1500,
 c02f3758d6033c3bdcd8f5848412b85662368592,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  1,  0,  2,  1500,
 1c9b4d9c07c6600aa5133b7eae86eafc28e207f6,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  1,  0,  1500,
 1c9b4d9c07c6600aa5133b7eae86eafc28e207f6,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  1,  1,  1500,
 1c9b4d9c07c6600aa5133b7eae86eafc28e207f6,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  1,  2,  1500,
 c02f3758d6033c3bdcd8f5848412b85662368592,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  0,  1500,
 c02f3758d6033c3bdcd8f5848412b85662368592,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  1,  1500,
 c02f3758d6033c3bdcd8f5848412b85662368592,  -1 ,  1,  0,  -1,  256,  18,  -1,  3,  0,  2,  0,  2,  1500,
