SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 502d79037d4a3452ae970e98682800a09fd68749,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 502d79037d4a3452ae970e98682800a09fd68749,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 502d79037d4a3452ae970e98682800a09fd68749,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 0e131f26be83b1fa7ea82c33f8e4397108c7dbee,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 0e131f26be83b1fa7ea82c33f8e4397108c7dbee,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 0e131f26be83b1fa7ea82c33f8e4397108c7dbee,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 a24d27520719294dc4024fa46961814ed72b5a40,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 a24d27520719294dc4024fa46961814ed72b5a40,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 a24d27520719294dc4024fa46961814ed72b5a40,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 d606ff718a6b6aadd6e57d8f683810bd68f636eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 d606ff718a6b6aadd6e57d8f683810bd68f636eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 d606ff718a6b6aadd6e57d8f683810bd68f636eb,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 82ea7412405c3b499928e370610198ad1bde0cb0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 82ea7412405c3b499928e370610198ad1bde0cb0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 82ea7412405c3b499928e370610198ad1bde0cb0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
 bbc78b65d56ae984b0d1c1841fe6f1edb64dc591,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 bbc78b65d56ae984b0d1c1841fe6f1edb64dc591,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 bbc78b65d56ae984b0d1c1841fe6f1edb64dc591,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 502d79037d4a3452ae970e98682800a09fd68749,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 502d79037d4a3452ae970e98682800a09fd68749,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 502d79037d4a3452ae970e98682800a09fd68749,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 0e131f26be83b1fa7ea82c33f8e4397108c7dbee,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 0e131f26be83b1fa7ea82c33f8e4397108c7dbee,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 0e131f26be83b1fa7ea82c33f8e4397108c7dbee,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 502d79037d4a3452ae970e98682800a09fd68749,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
