SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 59aae278e977f9e736757215c3f9d837e0ab4fa8,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 59aae278e977f9e736757215c3f9d837e0ab4fa8,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 59aae278e977f9e736757215c3f9d837e0ab4fa8,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 b1b9940c612bfbfc84e13a50058ea47388a87488,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 b1b9940c612bfbfc84e13a50058ea47388a87488,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 b1b9940c612bfbfc84e13a50058ea47388a87488,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 b03483a23f5b6bb817845f1b2ac7ad7828f1a4a4,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 1045568a106886bc7387932f8b8241b056b3d946,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
