SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 40f20c2674b2d9805883e32625140c16aaa6e7f5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 40f20c2674b2d9805883e32625140c16aaa6e7f5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 40f20c2674b2d9805883e32625140c16aaa6e7f5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 18088b89d7581575882c6fb44189223ac71d0465,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 18088b89d7581575882c6fb44189223ac71d0465,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 18088b89d7581575882c6fb44189223ac71d0465,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 5f98afd30e27300d004912df15a7741ab42d5ad5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 5f98afd30e27300d004912df15a7741ab42d5ad5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 5f98afd30e27300d004912df15a7741ab42d5ad5,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
 b1ed7959fa3761c5b6ca7d8f58cdc97390254ff0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 b1ed7959fa3761c5b6ca7d8f58cdc97390254ff0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 b1ed7959fa3761c5b6ca7d8f58cdc97390254ff0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  0,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  1,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  0,  2,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  0,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  1,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  1,  2,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  0,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  1,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  4,  0,  2,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  0,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  1,  1500,
 72421ef8e8763f787ba0c88344d482d6417bc58b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  1,  2,  1500,
 a8ab2483a7292f0be03f1c35fee2956cf75ef13b,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  8,  0,  0,  1500,
