SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 0b0adabd6f86a91f81b31ea576d5abf1f89cf69c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 0b0adabd6f86a91f81b31ea576d5abf1f89cf69c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 0b0adabd6f86a91f81b31ea576d5abf1f89cf69c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 e08948763bd8d66dbacc6ec51114f92286fc968d,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 e08948763bd8d66dbacc6ec51114f92286fc968d,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 e08948763bd8d66dbacc6ec51114f92286fc968d,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 4d9288ba6aa41b45ab14138241f3ae999dafcda0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 4d9288ba6aa41b45ab14138241f3ae999dafcda0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 4d9288ba6aa41b45ab14138241f3ae999dafcda0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 29532a44137122be00d3df23299b450c1c02b2bf,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 29532a44137122be00d3df23299b450c1c02b2bf,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 29532a44137122be00d3df23299b450c1c02b2bf,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
 9da48e97bdd8cdd3cd601c040d49b59817eed9ea,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 9da48e97bdd8cdd3cd601c040d49b59817eed9ea,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
 9da48e97bdd8cdd3cd601c040d49b59817eed9ea,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  2,  1500,
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  0,  1500,
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  1,  1500,
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  1,  2,  1500,
 0b0adabd6f86a91f81b31ea576d5abf1f89cf69c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  0,  1500,
 0b0adabd6f86a91f81b31ea576d5abf1f89cf69c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  1,  1500,
 0b0adabd6f86a91f81b31ea576d5abf1f89cf69c,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  1,  0,  2,  1500,
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  0,  1500,
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  1,  1500,
 c8401ba27fc7be8af6b66fb2333f1df703392116,  -1 ,  1,  0,  -1,  256,  18,  -1,  2,  0,  2,  1,  2,  1500,
