SHA-1 Value, 					 			-frms, -numtl, -scrsig, -rc,     			-tarb, -lqp 0, -iper,            			-slcmd 0,-slcnum 0, -thread,     			-ltr, -db, -slcsize 0 
 113031f94d958f32c5cf97e4321fde405e4bc79c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  0,  1500,
 113031f94d958f32c5cf97e4321fde405e4bc79c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  1,  1500,
 113031f94d958f32c5cf97e4321fde405e4bc79c,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  1,  2,  1500,
 7515ffe5be0ce8b19f83c4dc539970ccccec37aa,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  0,  1500,
 7515ffe5be0ce8b19f83c4dc539970ccccec37aa,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  1,  1500,
 7515ffe5be0ce8b19f83c4dc539970ccccec37aa,  -1 ,  1,  0,  -1,  256,  18,  -1,  0,  0,  1,  0,  2,  1500,
 cf61dc0a74afccf364800dfcb3135c1663c25282,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  0,  1500,
 cf61dc0a74afccf364800dfcb3135c1663c25282,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  1,  1500,
 cf61dc0a74afccf364800dfcb3135c1663c25282,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  1,  2,  1500,
 25af917ba077e5b317db1ecbc46597c135cc389f,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  0,  1500,
 25af917ba077e5b317db1ecbc46597c135cc389f,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  1,  1500,
 25af917ba077e5b317db1ecbc46597c135cc389f,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  4,  1,  0,  2,  1500,
 34c47cbb51f71e198a4e878ee7ab26665d1796e0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  0,  1500,
 34c47cbb51f71e198a4e878ee7ab26665d1796e0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  1,  1500,
 34c47cbb51f71e198a4e878ee7ab26665d1796e0,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  1,  2,  1500,
 47e8a63d3bf3ef4250618c002b8b4cfddd6424cc,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  0,  1500,
 47e8a63d3bf3ef4250618c002b8b4cfddd6424cc,  -1 ,  1,  0,  -1,  256,  18,  -1,  1,  7,  1,  0,  1,  1500,
